,Date,Price,Year,Month,Day
264,2008-07-14,119.44,2008,July,Monday
265,2008-07-21,119.4,2008,July,Monday
266,2008-07-28,116.91,2008,July,Monday
267,2008-08-04,115.06,2008,August,Monday
268,2008-08-11,113.92,2008,August,Monday
269,2008-08-18,112.22,2008,August,Monday
270,2008-08-25,112.02,2008,August,Monday
271,2008-09-01,112.2,2008,September,Monday
272,2008-09-08,112.55,2008,September,Monday
273,2008-09-15,112.51,2008,September,Monday
274,2008-09-22,110.81,2008,September,Monday
275,2008-09-29,109.85,2008,September,Monday
276,2008-10-06,109.45,2008,October,Monday
277,2008-10-13,107.04,2008,October,Monday
278,2008-10-20,102.66,2008,October,Monday
279,2008-10-27,98.62,2008,October,Monday
280,2008-11-03,97.4,2008,November,Monday
281,2008-11-10,95.89,2008,November,Monday
282,2008-11-17,94.83,2008,November,Monday
283,2008-11-24,92.79,2008,November,Monday
284,2008-12-01,91.47,2008,December,Monday
285,2008-12-08,90.16,2008,December,Monday
286,2008-12-15,89.07,2008,December,Monday
287,2008-12-22,88.01,2008,December,Monday
288,2008-12-29,87.34,2008,December,Monday
289,2009-01-05,85.42,2009,January,Monday
290,2009-01-12,86.02,2009,January,Monday
291,2009-01-19,86.19,2009,January,Monday
292,2009-01-26,87.42,2009,January,Monday
293,2009-02-02,88.16,2009,February,Monday
294,2009-02-09,89.28,2009,February,Monday
295,2009-02-16,90.12,2009,February,Monday
296,2009-02-23,90.33,2009,February,Monday
297,2009-03-02,90.28,2009,March,Monday
298,2009-03-09,90.15,2009,March,Monday
299,2009-03-16,90.16,2009,March,Monday
300,2009-03-23,90.16,2009,March,Monday
301,2009-03-30,91.35,2009,March,Monday
302,2009-04-06,93.72,2009,April,Monday
303,2009-04-13,94.11,2009,April,Monday
304,2009-04-20,94.62,2009,April,Monday
305,2009-04-27,95.13,2009,April,Monday
306,2009-05-04,95.6,2009,May,Monday
307,2009-05-11,96.59,2009,May,Monday
308,2009-05-18,97.54,2009,May,Monday
309,2009-05-25,98.9,2009,May,Monday
310,2009-06-01,99.39,2009,June,Monday
311,2009-06-08,100.59,2009,June,Monday
312,2009-06-15,101.98,2009,June,Monday
313,2009-06-22,102.81,2009,June,Monday
314,2009-06-29,103.3,2009,June,Monday
315,2009-07-06,103.57,2009,July,Monday
316,2009-07-13,102.78,2009,July,Monday
317,2009-07-20,102.22,2009,July,Monday
318,2009-07-27,102.17,2009,July,Monday
319,2009-08-03,102.36,2009,August,Monday
320,2009-08-10,103.01,2009,August,Monday
321,2009-08-17,103.96,2009,August,Monday
322,2009-08-24,104.7,2009,August,Monday
323,2009-08-31,105.11,2009,August,Monday
324,2009-09-07,106.85,2009,September,Monday
325,2009-09-14,106.43,2009,September,Monday
326,2009-09-21,105.96,2009,September,Monday
327,2009-09-28,105.44,2009,September,Monday
328,2009-10-05,104.87,2009,October,Monday
329,2009-10-12,104.71,2009,October,Monday
330,2009-10-19,105.08,2009,October,Monday
331,2009-10-26,106.76,2009,October,Monday
332,2009-11-02,107.43,2009,November,Monday
333,2009-11-09,108.1,2009,November,Monday
334,2009-11-16,108.48,2009,November,Monday
335,2009-11-23,108.73,2009,November,Monday
336,2009-11-30,108.79,2009,November,Monday
337,2009-12-07,108.64,2009,December,Monday
338,2009-12-14,108.5,2009,December,Monday
339,2009-12-21,107.47,2009,December,Monday
340,2009-12-28,107.44,2009,December,Monday
341,2010-01-04,109.34,2010,January,Monday
342,2010-01-11,110.72,2010,January,Monday
343,2010-01-18,111.6,2010,January,Monday
344,2010-01-25,111.87,2010,January,Monday
345,2010-02-01,111.91,2010,February,Monday
346,2010-02-08,111.95,2010,February,Monday
347,2010-02-15,111.89,2010,February,Monday
348,2010-02-22,111.56,2010,February,Monday
349,2010-03-01,112.42,2010,March,Monday
350,2010-03-08,113.71,2010,March,Monday
351,2010-03-15,115.46,2010,March,Monday
352,2010-03-22,116.59,2010,March,Monday
353,2010-03-29,117.28,2010,March,Monday
354,2010-04-05,119.29,2010,April,Monday
355,2010-04-12,119.94,2010,April,Monday
356,2010-04-19,120.55,2010,April,Monday
357,2010-04-26,120.99,2010,April,Monday
358,2010-05-03,121.18,2010,May,Monday
359,2010-05-10,121.31,2010,May,Monday
360,2010-05-17,121.3,2010,May,Monday
361,2010-05-24,119.93,2010,May,Monday
362,2010-05-31,118.54,2010,May,Monday
363,2010-06-07,118.2,2010,June,Monday
364,2010-06-14,117.87,2010,June,Monday
365,2010-06-21,117.8,2010,June,Monday
366,2010-06-28,117.88,2010,June,Monday
367,2010-07-05,117.91,2010,July,Monday
368,2010-07-12,117.39,2010,July,Monday
369,2010-07-19,116.85,2010,July,Monday
370,2010-07-26,116.61,2010,July,Monday
371,2010-08-02,116.51,2010,August,Monday
372,2010-08-09,116.35,2010,August,Monday
373,2010-08-16,116.34,2010,August,Monday
374,2010-08-23,115.64,2010,August,Monday
375,2010-08-30,114.98,2010,August,Monday
376,2010-09-06,114.59,2010,September,Monday
377,2010-09-13,114.66,2010,September,Monday
378,2010-09-20,115.06,2010,September,Monday
379,2010-09-27,115.39,2010,September,Monday
380,2010-10-04,116.01,2010,October,Monday
381,2010-10-11,116.78,2010,October,Monday
382,2010-10-18,117.28,2010,October,Monday
383,2010-10-25,117.74,2010,October,Monday
384,2010-11-01,118.18,2010,November,Monday
385,2010-11-08,118.67,2010,November,Monday
386,2010-11-15,118.8,2010,November,Monday
387,2010-11-22,118.99,2010,November,Monday
388,2010-11-29,119.21,2010,November,Monday
389,2010-12-06,120.54,2010,December,Monday
390,2010-12-13,121.68,2010,December,Monday
391,2010-12-20,122.31,2010,December,Monday
392,2010-12-27,123.44,2010,December,Monday
393,2011-01-03,124.85,2011,January,Monday
394,2011-01-10,127.4,2011,January,Monday
395,2011-01-17,127.87,2011,January,Monday
396,2011-01-24,128.35,2011,January,Monday
397,2011-01-31,128.55,2011,January,Monday
398,2011-02-07,128.64,2011,February,Monday
399,2011-02-14,128.73,2011,February,Monday
400,2011-02-21,128.92,2011,February,Monday
401,2011-02-28,129.72,2011,February,Monday
402,2011-03-07,131.28,2011,March,Monday
403,2011-03-14,132.18,2011,March,Monday
404,2011-03-21,133.11,2011,March,Monday
405,2011-03-28,132.44,2011,March,Monday
406,2011-04-04,132.81,2011,April,Monday
407,2011-04-11,133.68,2011,April,Monday
408,2011-04-18,135.06,2011,April,Monday
409,2011-04-25,135.62,2011,April,Monday
410,2011-05-02,136.29,2011,May,Monday
411,2011-05-09,137.05,2011,May,Monday
412,2011-05-16,136.4,2011,May,Monday
413,2011-05-23,136.11,2011,May,Monday
414,2011-05-30,135.57,2011,May,Monday
415,2011-06-06,135.62,2011,June,Monday
416,2011-06-13,135.86,2011,June,Monday
417,2011-06-20,136.03,2011,June,Monday
418,2011-06-27,134.86,2011,June,Monday
419,2011-07-04,133.43,2011,July,Monday
420,2011-07-11,134.18,2011,July,Monday
421,2011-07-18,134.97,2011,July,Monday
422,2011-07-25,135.66,2011,July,Monday
423,2011-08-01,136.07,2011,August,Monday
424,2011-08-08,136.46,2011,August,Monday
425,2011-08-15,135.95,2011,August,Monday
426,2011-08-22,134.56,2011,August,Monday
427,2011-08-29,134.32,2011,August,Monday
428,2011-09-05,134.62,2011,September,Monday
429,2011-09-12,135.0,2011,September,Monday
430,2011-09-19,135.4,2011,September,Monday
431,2011-09-26,135.65,2011,September,Monday
432,2011-10-03,135.02,2011,October,Monday
433,2011-10-10,134.47,2011,October,Monday
434,2011-10-17,134.49,2011,October,Monday
435,2011-10-24,134.66,2011,October,Monday
436,2011-10-31,134.73,2011,October,Monday
437,2011-11-07,134.41,2011,November,Monday
438,2011-11-14,133.68,2011,November,Monday
439,2011-11-21,133.38,2011,November,Monday
440,2011-11-28,133.17,2011,November,Monday
441,2011-12-05,132.78,2011,December,Monday
442,2011-12-12,132.53,2011,December,Monday
443,2011-12-19,132.49,2011,December,Monday
444,2011-12-26,132.41,2011,December,Monday
445,2012-01-02,132.4,2012,January,Monday
446,2012-01-09,132.68,2012,January,Monday
447,2012-01-16,133.29,2012,January,Monday
448,2012-01-23,133.72,2012,January,Monday
449,2012-01-30,134.1,2012,January,Monday
450,2012-02-06,134.25,2012,February,Monday
451,2012-02-13,134.9,2012,February,Monday
452,2012-02-20,135.21,2012,February,Monday
453,2012-02-27,136.21,2012,February,Monday
454,2012-03-05,137.3,2012,March,Monday
455,2012-03-12,137.9,2012,March,Monday
456,2012-03-19,138.96,2012,March,Monday
457,2012-03-26,139.48,2012,March,Monday
458,2012-04-02,140.99,2012,April,Monday
459,2012-04-09,141.97,2012,April,Monday
460,2012-04-16,142.17,2012,April,Monday
461,2012-04-23,141.76,2012,April,Monday
462,2012-04-30,141.0,2012,April,Monday
463,2012-05-07,140.14,2012,May,Monday
464,2012-05-14,138.29,2012,May,Monday
465,2012-05-21,135.77,2012,May,Monday
466,2012-05-28,134.37,2012,May,Monday
467,2012-06-04,134.06,2012,June,Monday
468,2012-06-11,133.67,2012,June,Monday
469,2012-06-18,131.99,2012,June,Monday
470,2012-06-25,131.55,2012,June,Monday
471,2012-07-02,130.5,2012,July,Monday
472,2012-07-09,131.06,2012,July,Monday
473,2012-07-16,131.49,2012,July,Monday
474,2012-07-23,132.21,2012,July,Monday
475,2012-07-30,132.78,2012,July,Monday
476,2012-08-06,133.39,2012,August,Monday
477,2012-08-13,134.27,2012,August,Monday
478,2012-08-20,135.72,2012,August,Monday
479,2012-08-27,137.1,2012,August,Monday
480,2012-09-03,138.03,2012,September,Monday
481,2012-09-10,138.91,2012,September,Monday
482,2012-09-17,139.42,2012,September,Monday
483,2012-09-24,139.54,2012,September,Monday
484,2012-10-01,138.43,2012,October,Monday
485,2012-10-08,138.24,2012,October,Monday
486,2012-10-15,138.35,2012,October,Monday
487,2012-10-22,138.29,2012,October,Monday
488,2012-10-29,136.98,2012,October,Monday
489,2012-11-05,136.43,2012,November,Monday
490,2012-11-12,135.09,2012,November,Monday
491,2012-11-19,134.56,2012,November,Monday
492,2012-11-26,134.38,2012,November,Monday
493,2012-12-03,133.05,2012,December,Monday
494,2012-12-10,132.55,2012,December,Monday
495,2012-12-17,131.98,2012,December,Monday
496,2012-12-24,131.95,2012,December,Monday
497,2012-12-31,131.92,2012,December,Monday
498,2013-01-07,131.86,2013,January,Monday
499,2013-01-14,132.0,2013,January,Monday
500,2013-01-21,132.21,2013,January,Monday
501,2013-01-28,132.95,2013,January,Monday
502,2013-02-04,134.38,2013,February,Monday
503,2013-02-11,135.56,2013,February,Monday
504,2013-02-18,136.86,2013,February,Monday
505,2013-02-25,138.5,2013,February,Monday
506,2013-03-04,139.47,2013,March,Monday
507,2013-03-11,140.0,2013,March,Monday
508,2013-03-18,137.58,2013,March,Monday
509,2013-03-25,137.09,2013,March,Monday
510,2013-04-01,137.3,2013,April,Monday
511,2013-04-08,137.31,2013,April,Monday
512,2013-04-15,137.11,2013,April,Monday
513,2013-04-22,135.68,2013,April,Monday
514,2013-04-29,134.66,2013,April,Monday
515,2013-05-06,133.42,2013,May,Monday
516,2013-05-13,133.12,2013,May,Monday
517,2013-05-20,133.17,2013,May,Monday
518,2013-05-27,133.64,2013,May,Monday
519,2013-06-03,134.04,2013,June,Monday
520,2013-06-10,134.3,2013,June,Monday
521,2013-06-17,134.46,2013,June,Monday
522,2013-06-24,134.52,2013,June,Monday
523,2013-07-01,133.44,2013,July,Monday
524,2013-07-08,133.77,2013,July,Monday
525,2013-07-15,134.95,2013,July,Monday
526,2013-07-22,136.04,2013,July,Monday
527,2013-07-29,136.87,2013,July,Monday
528,2013-08-05,137.02,2013,August,Monday
529,2013-08-12,137.13,2013,August,Monday
530,2013-08-19,137.0,2013,August,Monday
531,2013-08-28,136.83,2013,August,Wednesday
532,2013-09-02,137.14,2013,September,Monday
533,2013-09-09,137.6,2013,September,Monday
534,2013-09-16,137.47,2013,September,Monday
535,2013-09-23,136.95,2013,September,Monday
536,2013-09-30,133.4,2013,September,Monday
537,2013-10-07,131.62,2013,October,Monday
538,2013-10-14,131.67,2013,October,Monday
539,2013-10-21,131.53,2013,October,Monday
540,2013-10-28,131.42,2013,October,Monday
541,2013-11-04,129.92,2013,November,Monday
542,2013-11-11,129.71,2013,November,Monday
543,2013-11-18,129.89,2013,November,Monday
544,2013-11-25,130.03,2013,November,Monday
545,2013-12-02,130.25,2013,December,Monday
546,2013-12-09,130.76,2013,December,Monday
547,2013-12-16,130.96,2013,December,Monday
548,2013-12-23,130.05,2013,December,Monday
549,2013-12-30,130.03,2013,December,Monday
550,2014-01-06,130.26,2014,January,Monday
551,2014-01-13,130.36,2014,January,Monday
552,2014-01-20,129.37,2014,January,Monday
553,2014-01-27,129.02,2014,January,Monday
554,2014-02-03,128.85,2014,February,Monday
555,2014-02-10,128.81,2014,February,Monday
556,2014-02-17,129.16,2014,February,Monday
557,2014-02-24,129.2,2014,February,Monday
558,2014-03-03,129.36,2014,March,Monday
559,2014-03-10,129.39,2014,March,Monday
560,2014-03-17,128.76,2014,March,Monday
561,2014-03-24,128.57,2014,March,Monday
562,2014-03-31,128.76,2014,March,Monday
563,2014-04-07,128.71,2014,April,Monday
564,2014-04-14,128.89,2014,April,Monday
565,2014-04-21,129.11,2014,April,Monday
566,2014-04-28,129.09,2014,April,Monday
567,2014-05-05,129.27,2014,May,Monday
568,2014-05-12,129.5,2014,May,Monday
569,2014-05-19,129.42,2014,May,Monday
570,2014-05-26,129.51,2014,May,Monday
571,2014-06-02,129.63,2014,June,Monday
572,2014-06-09,129.69,2014,June,Monday
573,2014-06-16,129.88,2014,June,Monday
574,2014-06-23,130.14,2014,June,Monday
575,2014-06-30,130.69,2014,June,Monday
576,2014-07-07,131.1,2014,July,Monday
577,2014-07-14,131.11,2014,July,Monday
578,2014-07-21,131.04,2014,July,Monday
579,2014-07-28,130.83,2014,July,Monday
580,2014-08-04,129.63,2014,August,Monday
581,2014-08-11,129.41,2014,August,Monday
582,2014-08-18,129.29,2014,August,Monday
583,2014-08-25,128.34,2014,August,Monday
584,2014-09-01,128.01,2014,September,Monday
585,2014-09-08,128.34,2014,September,Monday
586,2014-09-15,128.43,2014,September,Monday
587,2014-09-22,128.62,2014,September,Monday
588,2014-09-29,128.59,2014,September,Monday
589,2014-10-06,126.78,2014,October,Monday
590,2014-10-13,126.5,2014,October,Monday
591,2014-10-20,125.4,2014,October,Monday
592,2014-10-27,125.11,2014,October,Monday
593,2014-11-03,123.94,2014,November,Monday
594,2014-11-10,122.94,2014,November,Monday
595,2014-11-17,122.5,2014,November,Monday
596,2014-11-24,122.29,2014,November,Monday
597,2014-12-01,121.18,2014,December,Monday
598,2014-12-08,119.83,2014,December,Monday
599,2014-12-15,116.3,2014,December,Monday
600,2014-12-22,113.66,2014,December,Monday
601,2014-12-29,113.16,2014,December,Monday
602,2015-01-05,111.06,2015,January,Monday
603,2015-01-12,108.87,2015,January,Monday
604,2015-01-19,106.83,2015,January,Monday
605,2015-01-26,106.32,2015,January,Monday
606,2015-02-02,106.04,2015,February,Monday
607,2015-02-09,106.35,2015,February,Monday
608,2015-02-16,107.26,2015,February,Monday
609,2015-02-23,108.34,2015,February,Monday
610,2015-03-02,109.2,2015,March,Monday
611,2015-03-09,110.07,2015,March,Monday
612,2015-03-16,111.04,2015,March,Monday
613,2015-03-23,111.65,2015,March,Monday
614,2015-03-30,112.06,2015,March,Monday
615,2015-04-06,112.37,2015,April,Monday
616,2015-04-13,112.52,2015,April,Monday
617,2015-04-20,112.87,2015,April,Monday
618,2015-04-27,113.55,2015,April,Monday
619,2015-05-04,114.27,2015,May,Monday
620,2015-05-11,115.1,2015,May,Monday
621,2015-05-18,115.74,2015,May,Monday
622,2015-05-25,116.02,2015,May,Monday
623,2015-06-01,116.13,2015,June,Monday
624,2015-06-08,116.26,2015,June,Monday
625,2015-06-15,116.39,2015,June,Monday
626,2015-06-22,116.6,2015,June,Monday
627,2015-06-29,116.55,2015,June,Monday
628,2015-07-06,116.34,2015,July,Monday
629,2015-07-13,116.41,2015,July,Monday
630,2015-07-20,116.79,2015,July,Monday
631,2015-07-27,116.44,2015,July,Monday
632,2015-08-03,116.12,2015,August,Monday
633,2015-08-10,115.48,2015,August,Monday
