Date,Price,Year,Month,Day
2004-09-06,81.37,2004,September,Monday
2004-09-13,81.31,2004,September,Monday
2004-09-20,81.28,2004,September,Monday
2004-09-27,81.63,2004,September,Monday
2004-10-04,82.05,2004,October,Monday
2004-10-11,83.11,2004,October,Monday
2004-10-18,83.35,2004,October,Monday
2004-10-25,83.94,2004,October,Monday
2004-11-01,84.27,2004,November,Monday
2004-11-08,84.34,2004,November,Monday
2004-11-15,84.26,2004,November,Monday
2004-11-22,81.46,2004,November,Monday
2004-11-29,84.17,2004,November,Monday
2004-12-06,84.06,2004,December,Monday
2004-12-13,182.73,2004,December,Monday
2004-12-20,81.46,2004,December,Monday
2004-12-27,81.2,2004,December,Monday
2005-01-03,81.17,2005,January,Monday
2005-01-10,79.84,2005,January,Monday
2005-01-17,78.93,2005,January,Monday
2005-01-24,78.93,2005,January,Monday
2005-01-31,79.54,2005,January,Monday
2005-02-07,79.84,2005,February,Monday
2005-02-14,80.03,2005,February,Monday
2005-02-21,80.15,2005,February,Monday
2005-02-28,80.45,2005,February,Monday
2005-03-07,81.16,2005,March,Monday
2005-03-14,81.64,2005,March,Monday
2005-03-21,82.7,2005,March,Monday
2005-03-28,83.4,2005,March,Monday
2005-04-04,83.91,2005,April,Monday
2005-04-11,85.61,2005,April,Monday
2005-04-18,85.63,2005,April,Monday
2005-04-25,85.51,2005,April,Monday
2005-05-02,85.44,2005,May,Monday
2005-05-09,85.36,2005,May,Monday
2005-05-16,85.27,2005,May,Monday
2005-05-23,84.77,2005,May,Monday
2005-05-30,84.18,2005,May,Monday
2005-06-06,84.01,2005,June,Monday
2005-06-13,84.99,2005,June,Monday
2005-06-20,85.52,2005,June,Monday
2005-06-27,86.73,2005,June,Monday
2005-07-04,87.49,2005,July,Monday
2005-07-11,87.73,2005,July,Monday
2005-07-18,88.55,2005,July,Monday
2005-07-25,89.0,2005,July,Monday
2005-08-01,89.25,2005,August,Monday
2005-08-08,89.67,2005,August,Monday
2005-08-15,90.56,2005,August,Monday
2005-08-22,90.77,2005,August,Monday
2005-08-29,91.42,2005,August,Monday
2005-09-05,94.37,2005,September,Monday
2005-09-12,95.07,2005,September,Monday
2005-09-19,94.41,2005,September,Monday
2005-09-26,93.33,2005,September,Monday
2005-10-03,93.51,2005,October,Monday
2005-10-10,94.25,2005,October,Monday
2005-10-17,94.14,2005,October,Monday
2005-10-24,93.47,2005,October,Monday
2005-11-07,92.47,2005,November,Monday
2005-11-14,90.53,2005,November,Monday
2005-11-21,88.61,2005,November,Monday
2005-11-28,87.35,2005,November,Monday
2005-12-05,87.35,2005,December,Monday
2005-12-12,87.2,2005,December,Monday
2005-12-19,87.56,2005,December,Monday
2005-12-26,87.88,2005,December,Monday
2006-01-02,88.03,2006,January,Monday
2006-01-09,88.56,2006,January,Monday
2006-01-16,89.01,2006,January,Monday
2006-01-23,89.55,2006,January,Monday
2006-01-30,89.88,2006,January,Monday
2006-02-06,89.73,2006,February,Monday
2006-02-13,89.65,2006,February,Monday
2006-02-20,89.6,2006,February,Monday
2006-02-27,189.51,2006,February,Monday
2006-03-06,89.37,2006,March,Monday
2006-03-13,89.55,2006,March,Monday
2006-03-20,90.19,2006,March,Monday
2006-03-27,91.16,2006,March,Monday
2006-04-03,91.78,2006,April,Monday
2006-04-10,92.77,2006,April,Monday
2006-04-18,94.23,2006,April,Tuesday
2006-04-24,95.35,2006,April,Monday
2006-05-01,96.13,2006,May,Monday
2006-05-08,96.46,2006,May,Monday
2006-05-15,96.39,2006,May,Monday
2006-05-22,96.1,2006,May,Monday
2006-05-29,95.36,2006,May,Monday
2006-06-05,95.24,2006,June,Monday
2006-06-12,95.49,2006,June,Monday
2006-06-19,95.44,2006,June,Monday
2006-06-26,94.97,2006,June,Monday
2006-07-03,95.27,2006,July,Monday
2006-07-10,95.69,2006,July,Monday
2006-07-17,96.88,2006,July,Monday
2006-07-24,97.78,2006,July,Monday
2006-07-31,97.83,2006,July,Monday
2006-08-07,98.05,2006,August,Monday
2006-08-14,97.82,2006,August,Monday
2006-08-21,95.74,2006,August,Monday
2006-08-28,94.4,2006,August,Monday
2006-09-04,92.88,2006,September,Monday
2006-09-11,91.48,2006,September,Monday
2006-09-18,89.78,2006,September,Monday
2006-09-25,88.2,2006,September,Monday
2006-10-02,86.95,2006,October,Monday
2006-10-09,86.6,2006,October,Monday
2006-10-16,85.91,2006,October,Monday
2006-10-23,85.74,2006,October,Monday
2006-10-30,85.6,2006,October,Monday
2006-11-06,85.54,2006,November,Monday
2006-11-13,85.49,2006,November,Monday
2006-11-27,85.47,2006,November,Monday
2006-12-04,85.46,2006,December,Monday
2006-12-11,87.44,2006,December,Monday
2006-12-18,87.7,2006,December,Monday
2006-12-25,87.9,2006,December,Monday
2007-01-01,87.85,2007,January,Monday
2007-01-08,87.66,2007,January,Monday
2007-01-15,87.1,2007,January,Monday
2007-01-22,86.28,2007,January,Monday
2007-01-29,85.66,2007,January,Monday
2007-02-05,85.62,2007,February,Monday
2007-02-12,86.12,2007,February,Monday
2007-02-19,86.6,2007,February,Monday
2007-02-26,87.07,2007,February,Monday
2007-03-05,87.74,2007,March,Monday
2007-03-12,88.48,2007,March,Monday
2007-03-19,88.93,2007,March,Monday
2007-03-26,89.32,2007,March,Monday
2007-04-02,90.47,2007,April,Monday
2007-04-10,91.18,2007,April,Tuesday
2007-04-16,91.99,2007,April,Monday
2007-04-23,92.93,2007,April,Monday
2007-04-30,93.45,2007,April,Monday
2007-05-07,94.43,2007,May,Monday
2007-05-14,95.07,2007,May,Monday
2007-05-21,95.71,2007,May,Monday
2007-05-28,96.16,2007,May,Monday
2007-06-04,96.51,2007,June,Monday
2007-06-11,96.61,2007,June,Monday
2007-06-18,96.56,2007,June,Monday
2007-06-25,96.54,2007,June,Monday
2007-07-02,96.36,2007,July,Monday
2007-07-09,96.2,2007,July,Monday
2007-07-16,96.21,2007,July,Monday
2007-07-23,96.23,2007,July,Monday
2007-07-30,96.2,2007,July,Monday
2007-08-06,96.15,2007,August,Monday
2007-08-13,96.0,2007,August,Monday
2007-08-20,95.31,2007,August,Monday
2007-08-27,95.0,2007,August,Monday
2007-09-03,94.8,2007,September,Monday
2007-09-10,94.63,2007,September,Monday
2007-09-17,94.65,2007,September,Monday
2007-09-24,94.91,2007,September,Monday
2007-10-01,96.39,2007,October,Monday
2007-10-08,97.14,2007,October,Monday
2007-10-15,97.19,2007,October,Monday
2007-10-22,97.81,2007,October,Monday
2007-10-29,98.26,2007,October,Monday
2007-11-05,99.36,2007,November,Monday
2007-11-12,100.74,2007,November,Monday
2007-11-19,101.47,2007,November,Monday
2007-11-26,102.13,2007,November,Monday
2007-12-03,102.58,2007,December,Monday
2007-12-10,102.67,2007,December,Monday
2007-12-17,102.6,2007,December,Monday
2007-12-24,102.53,2007,December,Monday
2007-12-31,102.66,2007,December,Monday
2008-01-07,103.37,2008,January,Monday
2008-01-14,103.82,2008,January,Monday
2008-01-21,104.22,2008,January,Monday
2008-01-28,104.22,2008,January,Monday
2008-02-04,104.03,2008,February,Monday
2008-02-11,103.67,2008,February,Monday
2008-02-18,103.7,2008,February,Monday
2008-02-25,104.65,2008,February,Monday
2008-03-03,105.24,2008,March,Monday
2008-03-10,105.96,2008,March,Monday
2008-03-17,106.41,2008,March,Monday
2008-03-24,106.9,2008,March,Monday
2008-03-31,107.1,2008,March,Monday
2008-04-07,107.24,2008,April,Monday
2008-04-14,107.61,2008,April,Monday
2008-04-21,108.57,2008,April,Monday
2008-04-28,109.5,2008,April,Monday
2008-05-05,110.3,2008,May,Monday
2008-05-12,111.04,2008,May,Monday
2008-05-19,112.96,2008,May,Monday
2008-05-26,114.79,2008,May,Monday
2008-06-02,116.03,2008,June,Monday
2008-06-09,116.86,2008,June,Monday
2008-06-16,117.69,2008,June,Monday
2008-06-23,118.44,2008,June,Monday
2008-06-30,118.84,2008,June,Monday
2008-07-07,119.28,2008,July,Monday
2008-07-14,119.44,2008,July,Monday
2008-07-21,119.4,2008,July,Monday
2008-07-28,116.91,2008,July,Monday
2008-08-04,115.06,2008,August,Monday
2008-08-11,113.92,2008,August,Monday
2008-08-18,112.22,2008,August,Monday
2008-08-25,112.02,2008,August,Monday
2008-09-01,112.2,2008,September,Monday
2008-09-08,112.55,2008,September,Monday
2008-09-15,112.51,2008,September,Monday
2008-09-22,110.81,2008,September,Monday
2008-09-29,109.85,2008,September,Monday
2008-10-06,109.45,2008,October,Monday
2008-10-13,107.04,2008,October,Monday
2008-10-20,102.66,2008,October,Monday
2008-10-27,98.62,2008,October,Monday
2008-11-03,97.4,2008,November,Monday
2008-11-10,95.89,2008,November,Monday
2008-11-17,94.83,2008,November,Monday
2008-11-24,92.79,2008,November,Monday
2008-12-01,91.47,2008,December,Monday
2008-12-08,90.16,2008,December,Monday
2008-12-15,89.07,2008,December,Monday
2008-12-22,88.01,2008,December,Monday
2008-12-29,87.34,2008,December,Monday
2009-01-05,85.42,2009,January,Monday
2009-01-12,86.02,2009,January,Monday
2009-01-19,86.19,2009,January,Monday
2009-01-26,87.42,2009,January,Monday
2009-02-02,88.16,2009,February,Monday
2009-02-09,89.28,2009,February,Monday
2009-02-16,90.12,2009,February,Monday
2009-02-23,90.33,2009,February,Monday
2009-03-02,90.28,2009,March,Monday
2009-03-09,90.15,2009,March,Monday
2009-03-16,90.16,2009,March,Monday
2009-03-23,90.16,2009,March,Monday
2009-03-30,91.35,2009,March,Monday
2009-04-06,93.72,2009,April,Monday
2009-04-13,94.11,2009,April,Monday
2009-04-20,94.62,2009,April,Monday
2009-04-27,95.13,2009,April,Monday
2009-05-04,95.6,2009,May,Monday
2009-05-11,96.59,2009,May,Monday
2009-05-18,97.54,2009,May,Monday
2009-05-25,98.9,2009,May,Monday
2009-06-01,99.39,2009,June,Monday
2009-06-08,100.59,2009,June,Monday
2009-06-15,101.98,2009,June,Monday
2009-06-22,102.81,2009,June,Monday
2009-06-29,103.3,2009,June,Monday
2009-07-06,103.57,2009,July,Monday
2009-07-13,102.78,2009,July,Monday
2009-07-20,102.22,2009,July,Monday
2009-07-27,102.17,2009,July,Monday
2009-08-03,102.36,2009,August,Monday
2009-08-10,103.01,2009,August,Monday
2009-08-17,103.96,2009,August,Monday
2009-08-24,104.7,2009,August,Monday
2009-08-31,105.11,2009,August,Monday
2009-09-07,106.85,2009,September,Monday
2009-09-14,106.43,2009,September,Monday
2009-09-21,105.96,2009,September,Monday
2009-09-28,105.44,2009,September,Monday
2009-10-05,104.87,2009,October,Monday
2009-10-12,104.71,2009,October,Monday
2009-10-19,105.08,2009,October,Monday
2009-10-26,106.76,2009,October,Monday
2009-11-02,107.43,2009,November,Monday
2009-11-09,108.1,2009,November,Monday
2009-11-16,108.48,2009,November,Monday
2009-11-23,108.73,2009,November,Monday
2009-11-30,108.79,2009,November,Monday
2009-12-07,108.64,2009,December,Monday
2009-12-14,108.5,2009,December,Monday
2009-12-21,107.47,2009,December,Monday
2009-12-28,107.44,2009,December,Monday
2010-01-04,109.34,2010,January,Monday
2010-01-11,110.72,2010,January,Monday
2010-01-18,111.6,2010,January,Monday
2010-01-25,111.87,2010,January,Monday
2010-02-01,111.91,2010,February,Monday
2010-02-08,111.95,2010,February,Monday
2010-02-15,111.89,2010,February,Monday
2010-02-22,111.56,2010,February,Monday
2010-03-01,112.42,2010,March,Monday
2010-03-08,113.71,2010,March,Monday
2010-03-15,115.46,2010,March,Monday
2010-03-22,116.59,2010,March,Monday
2010-03-29,117.28,2010,March,Monday
2010-04-05,119.29,2010,April,Monday
2010-04-12,119.94,2010,April,Monday
2010-04-19,120.55,2010,April,Monday
2010-04-26,120.99,2010,April,Monday
2010-05-03,121.18,2010,May,Monday
2010-05-10,121.31,2010,May,Monday
2010-05-17,121.3,2010,May,Monday
2010-05-24,119.93,2010,May,Monday
2010-05-31,118.54,2010,May,Monday
2010-06-07,118.2,2010,June,Monday
2010-06-14,117.87,2010,June,Monday
2010-06-21,117.8,2010,June,Monday
2010-06-28,117.88,2010,June,Monday
2010-07-05,117.91,2010,July,Monday
2010-07-12,117.39,2010,July,Monday
2010-07-19,116.85,2010,July,Monday
2010-07-26,116.61,2010,July,Monday
2010-08-02,116.51,2010,August,Monday
2010-08-09,116.35,2010,August,Monday
2010-08-16,116.34,2010,August,Monday
2010-08-23,115.64,2010,August,Monday
2010-08-30,114.98,2010,August,Monday
2010-09-06,114.59,2010,September,Monday
2010-09-13,114.66,2010,September,Monday
2010-09-20,115.06,2010,September,Monday
2010-09-27,115.39,2010,September,Monday
2010-10-04,116.01,2010,October,Monday
2010-10-11,116.78,2010,October,Monday
2010-10-18,117.28,2010,October,Monday
2010-10-25,117.74,2010,October,Monday
2010-11-01,118.18,2010,November,Monday
2010-11-08,118.67,2010,November,Monday
2010-11-15,118.8,2010,November,Monday
2010-11-22,118.99,2010,November,Monday
2010-11-29,119.21,2010,November,Monday
2010-12-06,120.54,2010,December,Monday
2010-12-13,121.68,2010,December,Monday
2010-12-20,122.31,2010,December,Monday
2010-12-27,123.44,2010,December,Monday
2011-01-03,124.85,2011,January,Monday
2011-01-10,127.4,2011,January,Monday
2011-01-17,127.87,2011,January,Monday
2011-01-24,128.35,2011,January,Monday
2011-01-31,128.55,2011,January,Monday
2011-02-07,128.64,2011,February,Monday
2011-02-14,128.73,2011,February,Monday
2011-02-21,128.92,2011,February,Monday
2011-02-28,129.72,2011,February,Monday
2011-03-07,131.28,2011,March,Monday
2011-03-14,132.18,2011,March,Monday
2011-03-21,133.11,2011,March,Monday
2011-03-28,132.44,2011,March,Monday
2011-04-04,132.81,2011,April,Monday
2011-04-11,133.68,2011,April,Monday
2011-04-18,135.06,2011,April,Monday
2011-04-25,135.62,2011,April,Monday
2011-05-02,136.29,2011,May,Monday
2011-05-09,137.05,2011,May,Monday
2011-05-16,136.4,2011,May,Monday
2011-05-23,136.11,2011,May,Monday
2011-05-30,135.57,2011,May,Monday
2011-06-06,135.62,2011,June,Monday
2011-06-13,135.86,2011,June,Monday
2011-06-20,136.03,2011,June,Monday
2011-06-27,134.86,2011,June,Monday
2011-07-04,133.43,2011,July,Monday
2011-07-11,134.18,2011,July,Monday
2011-07-18,134.97,2011,July,Monday
2011-07-25,135.66,2011,July,Monday
2011-08-01,136.07,2011,August,Monday
2011-08-08,136.46,2011,August,Monday
2011-08-15,135.95,2011,August,Monday
2011-08-22,134.56,2011,August,Monday
2011-08-29,134.32,2011,August,Monday
2011-09-05,134.62,2011,September,Monday
2011-09-12,135.0,2011,September,Monday
2011-09-19,135.4,2011,September,Monday
2011-09-26,135.65,2011,September,Monday
2011-10-03,135.02,2011,October,Monday
2011-10-10,134.47,2011,October,Monday
2011-10-17,134.49,2011,October,Monday
2011-10-24,134.66,2011,October,Monday
2011-10-31,134.73,2011,October,Monday
2011-11-07,134.41,2011,November,Monday
2011-11-14,133.68,2011,November,Monday
2011-11-21,133.38,2011,November,Monday
2011-11-28,133.17,2011,November,Monday
2011-12-05,132.78,2011,December,Monday
2011-12-12,132.53,2011,December,Monday
2011-12-19,132.49,2011,December,Monday
2011-12-26,132.41,2011,December,Monday
2012-01-02,132.4,2012,January,Monday
2012-01-09,132.68,2012,January,Monday
2012-01-16,133.29,2012,January,Monday
2012-01-23,133.72,2012,January,Monday
2012-01-30,134.1,2012,January,Monday
2012-02-06,134.25,2012,February,Monday
2012-02-13,134.9,2012,February,Monday
2012-02-20,135.21,2012,February,Monday
2012-02-27,136.21,2012,February,Monday
2012-03-05,137.3,2012,March,Monday
2012-03-12,137.9,2012,March,Monday
2012-03-19,138.96,2012,March,Monday
2012-03-26,139.48,2012,March,Monday
2012-04-02,140.99,2012,April,Monday
2012-04-09,141.97,2012,April,Monday
2012-04-16,142.17,2012,April,Monday
2012-04-23,141.76,2012,April,Monday
2012-04-30,141.0,2012,April,Monday
2012-05-07,140.14,2012,May,Monday
2012-05-14,138.29,2012,May,Monday
2012-05-21,135.77,2012,May,Monday
2012-05-28,134.37,2012,May,Monday
2012-06-04,134.06,2012,June,Monday
2012-06-11,133.67,2012,June,Monday
2012-06-18,131.99,2012,June,Monday
2012-06-25,131.55,2012,June,Monday
2012-07-02,130.5,2012,July,Monday
2012-07-09,131.06,2012,July,Monday
2012-07-16,131.49,2012,July,Monday
2012-07-23,132.21,2012,July,Monday
2012-07-30,132.78,2012,July,Monday
2012-08-06,133.39,2012,August,Monday
2012-08-13,134.27,2012,August,Monday
2012-08-20,135.72,2012,August,Monday
2012-08-27,137.1,2012,August,Monday
2012-09-03,138.03,2012,September,Monday
2012-09-10,138.91,2012,September,Monday
2012-09-17,139.42,2012,September,Monday
2012-09-24,139.54,2012,September,Monday
2012-10-01,138.43,2012,October,Monday
2012-10-08,138.24,2012,October,Monday
2012-10-15,138.35,2012,October,Monday
2012-10-22,138.29,2012,October,Monday
2012-10-29,136.98,2012,October,Monday
2012-11-05,136.43,2012,November,Monday
2012-11-12,135.09,2012,November,Monday
2012-11-19,134.56,2012,November,Monday
2012-11-26,134.38,2012,November,Monday
2012-12-03,133.05,2012,December,Monday
2012-12-10,132.55,2012,December,Monday
2012-12-17,131.98,2012,December,Monday
2012-12-24,131.95,2012,December,Monday
2012-12-31,131.92,2012,December,Monday
2013-01-07,131.86,2013,January,Monday
2013-01-14,132.0,2013,January,Monday
2013-01-21,132.21,2013,January,Monday
2013-01-28,132.95,2013,January,Monday
2013-02-04,134.38,2013,February,Monday
2013-02-11,135.56,2013,February,Monday
2013-02-18,136.86,2013,February,Monday
2013-02-25,138.5,2013,February,Monday
2013-03-04,139.47,2013,March,Monday
2013-03-11,140.0,2013,March,Monday
2013-03-18,137.58,2013,March,Monday
2013-03-25,137.09,2013,March,Monday
2013-04-01,137.3,2013,April,Monday
2013-04-08,137.31,2013,April,Monday
2013-04-15,137.11,2013,April,Monday
2013-04-22,135.68,2013,April,Monday
2013-04-29,134.66,2013,April,Monday
2013-05-06,133.42,2013,May,Monday
2013-05-13,133.12,2013,May,Monday
2013-05-20,133.17,2013,May,Monday
2013-05-27,133.64,2013,May,Monday
2013-06-03,134.04,2013,June,Monday
2013-06-10,134.3,2013,June,Monday
2013-06-17,134.46,2013,June,Monday
2013-06-24,134.52,2013,June,Monday
2013-07-01,133.44,2013,July,Monday
2013-07-08,133.77,2013,July,Monday
2013-07-15,134.95,2013,July,Monday
2013-07-22,136.04,2013,July,Monday
2013-07-29,136.87,2013,July,Monday
2013-08-05,137.02,2013,August,Monday
2013-08-12,137.13,2013,August,Monday
2013-08-19,137.0,2013,August,Monday
2013-08-28,136.83,2013,August,Wednesday
2013-09-02,137.14,2013,September,Monday
2013-09-09,137.6,2013,September,Monday
2013-09-16,137.47,2013,September,Monday
2013-09-23,136.95,2013,September,Monday
2013-09-30,133.4,2013,September,Monday
2013-10-07,131.62,2013,October,Monday
2013-10-14,131.67,2013,October,Monday
2013-10-21,131.53,2013,October,Monday
2013-10-28,131.42,2013,October,Monday
2013-11-04,129.92,2013,November,Monday
2013-11-11,129.71,2013,November,Monday
2013-11-18,129.89,2013,November,Monday
2013-11-25,130.03,2013,November,Monday
2013-12-02,130.25,2013,December,Monday
2013-12-09,130.76,2013,December,Monday
2013-12-16,130.96,2013,December,Monday
2013-12-23,130.05,2013,December,Monday
2013-12-30,130.03,2013,December,Monday
2014-01-06,130.26,2014,January,Monday
2014-01-13,130.36,2014,January,Monday
2014-01-20,129.37,2014,January,Monday
2014-01-27,129.02,2014,January,Monday
2014-02-03,128.85,2014,February,Monday
2014-02-10,128.81,2014,February,Monday
2014-02-17,129.16,2014,February,Monday
2014-02-24,129.2,2014,February,Monday
2014-03-03,129.36,2014,March,Monday
2014-03-10,129.39,2014,March,Monday
2014-03-17,128.76,2014,March,Monday
2014-03-24,128.57,2014,March,Monday
2014-03-31,128.76,2014,March,Monday
2014-04-07,128.71,2014,April,Monday
2014-04-14,128.89,2014,April,Monday
2014-04-21,129.11,2014,April,Monday
2014-04-28,129.09,2014,April,Monday
2014-05-05,129.27,2014,May,Monday
2014-05-12,129.5,2014,May,Monday
2014-05-19,129.42,2014,May,Monday
2014-05-26,129.51,2014,May,Monday
2014-06-02,129.63,2014,June,Monday
2014-06-09,129.69,2014,June,Monday
2014-06-16,129.88,2014,June,Monday
2014-06-23,130.14,2014,June,Monday
2014-06-30,130.69,2014,June,Monday
2014-07-07,131.1,2014,July,Monday
2014-07-14,131.11,2014,July,Monday
2014-07-21,131.04,2014,July,Monday
2014-07-28,130.83,2014,July,Monday
2014-08-04,129.63,2014,August,Monday
2014-08-11,129.41,2014,August,Monday
2014-08-18,129.29,2014,August,Monday
2014-08-25,128.34,2014,August,Monday
2014-09-01,128.01,2014,September,Monday
2014-09-08,128.34,2014,September,Monday
2014-09-15,128.43,2014,September,Monday
2014-09-22,128.62,2014,September,Monday
2014-09-29,128.59,2014,September,Monday
2014-10-06,126.78,2014,October,Monday
2014-10-13,126.5,2014,October,Monday
2014-10-20,125.4,2014,October,Monday
2014-10-27,125.11,2014,October,Monday
2014-11-03,123.94,2014,November,Monday
2014-11-10,122.94,2014,November,Monday
2014-11-17,122.5,2014,November,Monday
2014-11-24,122.29,2014,November,Monday
2014-12-01,121.18,2014,December,Monday
2014-12-08,119.83,2014,December,Monday
2014-12-15,116.3,2014,December,Monday
2014-12-22,113.66,2014,December,Monday
2014-12-29,113.16,2014,December,Monday
2015-01-05,111.06,2015,January,Monday
2015-01-12,108.87,2015,January,Monday
2015-01-19,106.83,2015,January,Monday
2015-01-26,106.32,2015,January,Monday
2015-02-02,106.04,2015,February,Monday
2015-02-09,106.35,2015,February,Monday
2015-02-16,107.26,2015,February,Monday
2015-02-23,108.34,2015,February,Monday
2015-03-02,109.2,2015,March,Monday
2015-03-09,110.07,2015,March,Monday
2015-03-16,111.04,2015,March,Monday
2015-03-23,111.65,2015,March,Monday
2015-03-30,112.06,2015,March,Monday
2015-04-06,112.37,2015,April,Monday
2015-04-13,112.52,2015,April,Monday
2015-04-20,112.87,2015,April,Monday
2015-04-27,113.55,2015,April,Monday
2015-05-04,114.27,2015,May,Monday
2015-05-11,115.1,2015,May,Monday
2015-05-18,115.74,2015,May,Monday
2015-05-25,116.02,2015,May,Monday
2015-06-01,116.13,2015,June,Monday
2015-06-08,116.26,2015,June,Monday
2015-06-15,116.39,2015,June,Monday
2015-06-22,116.6,2015,June,Monday
2015-06-29,116.55,2015,June,Monday
2015-07-06,116.34,2015,July,Monday
2015-07-13,116.41,2015,July,Monday
2015-07-20,116.79,2015,July,Monday
2015-07-27,116.44,2015,July,Monday
2015-08-03,116.12,2015,August,Monday
2015-08-10,115.48,2015,August,Monday
2015-08-17,114.58,2015,August,Monday
2015-08-24,113.23,2015,August,Monday
2015-08-31,111.21,2015,August,Monday
2015-09-07,110.9,2015,September,Monday
2015-09-14,110.6,2015,September,Monday
2015-09-21,110.61,2015,September,Monday
2015-09-28,109.47,2015,September,Monday
2015-10-05,108.94,2015,October,Monday
2015-10-12,108.97,2015,October,Monday
2015-10-19,109.01,2015,October,Monday
2015-10-26,108.04,2015,October,Monday
2015-11-02,107.21,2015,November,Monday
2015-11-09,107.14,2015,November,Monday
2015-11-16,107.36,2015,November,Monday
2015-11-23,107.29,2015,November,Monday
2015-11-30,106.97,2015,November,Monday
2015-12-07,106.75,2015,December,Monday
2015-12-14,104.0,2015,December,Monday
2015-12-21,102.33,2015,December,Monday
2015-12-28,102.11,2015,December,Monday
2016-01-04,102.0,2016,January,Monday
2016-01-11,101.89,2016,January,Monday
2016-01-18,101.8,2016,January,Monday
2016-01-25,101.42,2016,January,Monday
2016-02-01,101.36,2016,February,Monday
2016-02-08,101.51,2016,February,Monday
2016-02-15,101.45,2016,February,Monday
2016-02-22,101.39,2016,February,Monday
2016-02-29,101.42,2016,February,Monday
2016-03-07,101.46,2016,March,Monday
2016-03-14,101.71,2016,March,Monday
2016-03-21,102.58,2016,March,Monday
2016-03-28,103.4,2016,March,Monday
2016-04-04,104.51,2016,April,Monday
2016-04-11,105.39,2016,April,Monday
2016-04-18,106.41,2016,April,Monday
2016-04-25,107.14,2016,April,Monday
2016-05-02,107.82,2016,May,Monday
2016-05-09,108.19,2016,May,Monday
2016-05-16,108.53,2016,May,Monday
2016-05-23,109.12,2016,May,Monday
2016-05-30,109.79,2016,May,Monday
2016-06-06,110.4,2016,June,Monday
2016-06-13,111.03,2016,June,Monday
2016-06-20,111.22,2016,June,Monday
2016-06-27,111.44,2016,June,Monday
2016-07-04,111.65,2016,July,Monday
2016-07-11,111.89,2016,July,Monday
2016-07-18,111.92,2016,July,Monday
2016-07-25,111.69,2016,July,Monday
2016-08-01,111.05,2016,August,Monday
2016-08-08,109.75,2016,August,Monday
2016-08-15,109.28,2016,August,Monday
2016-08-22,109.63,2016,August,Monday
2016-08-29,110.43,2016,August,Monday
2016-09-05,110.97,2016,September,Monday
2016-09-12,111.31,2016,September,Monday
2016-09-19,111.29,2016,September,Monday
2016-09-26,111.36,2016,September,Monday
2016-10-03,111.65,2016,October,Monday
2016-10-10,112.35,2016,October,Monday
2016-10-17,113.72,2016,October,Monday
2016-10-24,115.2,2016,October,Monday
